Vertical,3rd Party Data Brand,3rd Party Data ID,Clicks,Impressions,Hypothetical Advertiser Cost (Adv Currency),All Last Click + View Conversions,CTR,CPA
Agriculture,Data Alliance,846.0,2,2646,5.332417727340858,7,0.0007558578987150416,0.761773961048694
Agriculture,Data Alliance,6301.0,26,18458,37.48383890598332,68,0.0014086033156354967,0.5512329250879899
Agriculture,Data Alliance,2539882.0,2,2101,4.568869788373707,16,0.0009519276534983341,0.2855543617733567
Agriculture,Data Alliance,7403018.0,22,20552,50.672843649271094,102,0.0010704554301284547,0.4967925847967754
Agriculture,Data Alliance,7568953.0,4,3996,7.468899608499217,11,0.001001001001001001,0.6789908734999288
Agriculture,Data Alliance,7762161.0,43,26075,51.272775453290585,21,0.0016490891658676894,2.44156073587098
Agriculture,Data Alliance,7867848.0,20,15254,31.1214143088497,47,0.001311131506490101,0.6621577512521213
Agriculture,Data Alliance,7868581.0,0,268,0.606536729420569,1,0.0,0.606536729420569
Agriculture,Data Alliance,8022686.0,0,296,0.731592015316225,1,0.0,0.731592015316225
Agriculture,Data Alliance,8228466.0,20,21365,46.53778236313691,36,0.000936110461034402,1.2927161767538031
Agriculture,Data Alliance,8439596.0,15,17191,37.492592091820036,45,0.0008725495899016927,0.8331687131515564
Agriculture,Data Alliance,8439639.0,3,7462,16.441306808826234,5,0.00040203698740284106,3.2882613617652465
Agriculture,Data Alliance,8439786.0,27,21305,43.07157932091058,100,0.0012673081436282562,0.4307157932091058
Agriculture,Data Alliance,8750599.0,9,6921,15.629033737638848,81,0.0013003901170351106,0.19295103379801046
Agriculture,Data Alliance,8909884.0,3,9917,20.86849695739108,29,0.0003025108399717657,0.7196033433583131
Agriculture,Data Alliance,8910125.0,3,3056,6.296095008519756,14,0.000981675392670157,0.4497210720371254
Agriculture,Data Alliance,9567727.0,21,19632,39.56056757496863,75,0.001069682151589242,0.5274742343329151
Agriculture,Data Alliance,10311213.0,56,40253,84.02290628887717,88,0.0013912006558517377,0.9548057532826951
Agriculture,Data Alliance,10582318.0,1,7449,17.543344971593047,93,0.00013424620754463686,0.18863811797411878
Agriculture,Data Alliance,11814764.0,35,38318,84.43105726560361,110,0.0009134088417975886,0.7675550660509419
Agriculture,Data Alliance,12165178.0,13,8092,16.898064007190175,23,0.001606524962926347,0.734698435095225
Agriculture,Data Alliance,13138568.0,2,3368,8.015793605887913,24,0.0005938242280285036,0.3339914002453297
Agriculture,Data Alliance,14290367.0,3,9354,18.306795415276223,69,0.00032071840923669016,0.2653158755837134
Agriculture,Data Alliance,14290368.0,2,4616,9.282035269160144,24,0.0004332755632582322,0.38675146954833933
Agriculture,Data Alliance,14311033.0,1,766,1.583315897190607,8,0.0013054830287206266,0.19791448714882587
Agriculture,Data Alliance,14311034.0,0,1018,2.042434921202598,12,0.0,0.1702029101002165
Agriculture,Data Alliance,14311035.0,2,1532,3.076480412544999,1,0.0013054830287206266,3.076480412544999
Agriculture,Data Alliance,14311036.0,0,2252,4.512551819369599,21,0.0,0.2148834199699809
Agriculture,Data Alliance,14311037.0,1,3389,6.844642588191783,17,0.00029507229271171436,0.4026260345995166
Agriculture,Data Alliance,14311038.0,0,3028,6.018691716912977,18,0.0,0.33437176205072094
Agriculture,Data Alliance,14311039.0,0,2109,4.1929828086899,36,0.0,0.11647174468583055
Agriculture,Data Alliance,14311040.0,2,2696,5.222934423321943,13,0.000741839762611276,0.4017641864093803
Agriculture,Data Alliance,14311042.0,2,3478,6.632721483588119,8,0.0005750431282346176,0.8290901854485149
Agriculture,Data Alliance,14311103.0,0,561,1.127548925659628,21,0.0,0.053692805983791815
Agriculture,Data Alliance,14311105.0,0,1165,2.339735430735321,36,0.0,0.06499265085375891
Agriculture,Data Alliance,14311106.0,1,1573,3.169313878226419,8,0.0006357279084551812,0.39616423477830237
Agriculture,Data Alliance,14311107.0,0,2330,4.691431600769855,12,0.0,0.3909526333974879
Agriculture,Data Alliance,14311108.0,0,2498,5.045748026632861,17,0.0,0.2968087074489918
Agriculture,Data Alliance,14311109.0,0,2823,5.744157392936525,46,0.0,0.12487298680296792
Agriculture,Data Alliance,14311110.0,0,1740,3.525742396811718,17,0.0,0.20739661157715988
Agriculture,Data Alliance,14311111.0,2,1894,3.842666613049622,25,0.0010559662090813093,0.1537066645219849
Agriculture,Data Alliance,14311112.0,2,2617,5.224238112300094,3,0.0007642338555598013,1.7414127041000314
Agriculture,Data Alliance,14311185.0,0,1129,2.260011239038989,4,0.0,0.5650028097597473
Agriculture,Data Alliance,14311186.0,0,1292,2.580279435631483,18,0.0,0.1433488575350824
Agriculture,Data Alliance,14311187.0,5,1895,3.872296409724555,40,0.002638522427440633,0.09680741024311387
Agriculture,Data Alliance,14311188.0,4,3004,6.100643597984548,28,0.0013315579227696406,0.21788012849944813
Agriculture,Data Alliance,14311189.0,2,4204,8.401745676936542,67,0.0004757373929590866,0.1253991892080081
Agriculture,Data Alliance,14311190.0,1,3929,7.864987336398732,16,0.00025451768897938407,0.49156170852492076
Agriculture,Data Alliance,14311191.0,0,2400,4.729894237582125,47,0.0,0.10063604760813033
Agriculture,Data Alliance,14311192.0,0,3468,6.697277998056228,10,0.0,0.6697277998056228
Agriculture,Data Alliance,14311193.0,4,3448,6.723750849351568,7,0.001160092807424594,0.9605358356216526
Agriculture,Data Alliance,14311194.0,1,3771,7.151867622047134,7,0.00026518164942985947,1.021695374578162
Agriculture,Data Alliance,14684078.0,1,2014,4.176331430750296,17,0.0004965243296921549,0.24566655475001742
